code,name,sector,market,lo,hi,c0,c1,gain_lh,gain_cc,date_lo,date_hi,vol_ratio,bars
1436,グリーンエナジー＆カンパニー,建設・資材,グロース,656.0,4440.0,1163.0,4030.0,576.8,246.5,2022-12-29,2026-03-17,0.57,1225
8714,池田泉州ホールディングス,銀行,プライム,147.0,994.0,175.0,992.0,576.2,466.9,2021-11-30,2026-04-09,0.97,1225
4062,イビデン,電機・精密,プライム,1478.0,9980.0,2600.0,9810.0,575.2,277.3,2025-04-07,2026-02-24,2.34,1225
6137,小池酸素工業,機械,スタンダード,362.0,2432.0,448.6,1920.0,571.8,328.0,2022-07-01,2026-03-03,0.37,1225
9960,東テク,商社・卸売,プライム,689.7,4590.0,976.3,4010.0,565.5,310.7,2022-04-12,2026-02-27,2.3,1225
6941,山一電機,電機・精密,プライム,1454.0,9640.0,1547.0,8950.0,563.0,478.5,2021-05-13,2026-03-11,1.37,1225
9127,玉井商船,運輸・物流,スタンダード,729.0,4790.0,784.0,2853.0,557.1,263.9,2021-05-21,2026-02-27,0.11,1225
4966,上村工業,素材・化学,スタンダード,3625.0,23810.0,3895.0,22670.0,556.8,482.0,2021-04-28,2026-03-18,0.93,1225
8061,西華産業,商社・卸売,プライム,493.3,3240.0,536.3,3125.0,556.8,482.7,2021-12-02,2026-04-09,4.23,1225
6361,荏原製作所,機械,プライム,902.0,5919.0,994.0,5080.0,556.2,411.1,2021-05-13,2026-02-16,1.13,1225
7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,商社・卸売,グロース,540.8,3535.0,786.3,3475.0,553.7,341.9,2022-02-24,2026-03-17,1.38,1225
8022,美津濃,情報通信・サービスその他,プライム,672.0,4385.0,736.7,3525.0,552.5,378.5,2022-04-12,2026-02-12,1.35,1225
8550,栃木銀行,銀行,プライム,167.0,1082.0,189.0,955.0,547.9,405.3,2021-06-21,2026-02-12,2.83,1225
1871,ピーエス・コンストラクション,建設・資材,プライム,548.0,3550.0,673.0,2889.0,547.8,329.3,2022-05-12,2026-03-02,1.31,1225
6331,三菱化工機,機械,プライム,615.0,3975.0,928.3,3170.0,546.3,241.5,2022-03-09,2026-02-20,2.87,1225
9171,栗林商船,運輸・物流,スタンダード,337.0,2178.0,384.0,1893.0,546.3,393.0,2021-05-21,2026-02-27,0.56,1225
6380,オリエンタルチエン工業,機械,スタンダード,602.0,3890.0,705.0,3585.0,546.2,408.5,2021-05-17,2026-01-16,2.11,1225
3106,倉敷紡績,素材・化学,プライム,1653.0,10670.0,1898.0,9300.0,545.5,390.0,2022-04-27,2026-02-09,1.33,1225
1812,鹿島建設,建設・資材,プライム,1247.0,8040.0,1543.0,6324.0,544.7,309.9,2021-12-01,2026-02-12,1.15,1225
5344,ＭＡＲＵＷＡ,建設・資材,プライム,10050.0,64700.0,11310.0,63090.0,543.8,457.8,2021-10-05,2026-03-03,3.78,1225
6547,グリーンズ,情報通信・サービスその他,スタンダード,431.0,2772.0,581.0,2070.0,543.2,256.3,2021-08-20,2025-09-09,1.45,1225
